FIPS,state,mean,median,lower,upper
01001,AL,57.0526088682953,57.1234955617639,45.2292334921942,68.6186564929465
01003,AL,57.1668128490978,57.494618431652,43.5024893398814,69.2252139979672
01005,AL,60.3629224381655,60.3665262481675,49.1299138799737,71.5879920860234
01007,AL,57.7335920683872,57.9712131391119,43.6424931281137,70.770407238649
01009,AL,57.117557182428,56.7908900081724,42.8061635352741,70.5657408956649
01011,AL,61.186319410503,61.3219434807553,49.8803228285416,71.6931372269357
01013,AL,59.5668260635006,59.3917939814147,48.6405913372195,70.6669659421378
01015,AL,56.3789041439177,56.4474714162499,45.1664302808049,68.284376749115
01017,AL,59.8785355540724,59.6074987349921,48.3636819746475,70.9619537651267
01019,AL,59.890068570893,60.2943775666103,44.6923843710347,73.7607517264716
01021,AL,56.4888294950336,56.2564332579737,43.4114901949168,69.7248530559754
01023,AL,62.5116364189538,62.7155500084652,51.8059941206271,72.349105993808
01025,AL,61.5905162600929,61.1882848301029,49.1835598830587,72.0806954478839
01027,AL,58.7475082932936,59.0949821635688,45.0989325355036,70.9049548005398
01029,AL,58.8596893578827,58.8714194024142,43.6591322377726,72.4506960228047
01031,AL,57.0091215619358,56.753697752166,45.3162437461969,69.072285661416
01033,AL,58.9814424829655,59.1725890032815,45.5537178136767,71.9447445174338
01035,AL,62.1230668369095,62.2109353181489,51.5308678587908,71.3647834143509
01037,AL,62.289204234447,62.4603902646009,51.4437914094866,72.3861995406909
01039,AL,59.7628416633033,59.7203010128447,45.628034403784,72.5363469409958
01041,AL,60.1598639343872,60.5173967244078,48.0775161405166,71.6458463961442
01043,AL,58.5835619851801,58.7645851695547,43.2986843738179,73.4129836224924
01045,AL,57.440831809513,57.8494700765119,45.8374162475875,68.9698184992361
01047,AL,61.3915830206235,61.5895958143134,49.4342748174771,72.9007418411335
01049,AL,56.1921718727466,56.6630483945733,41.9426511632178,70.172846359679
01051,AL,56.3799242887747,56.5242852393454,43.0680273544472,69.4722503473822
01053,AL,59.2174058042967,59.0374350924685,46.9355962045326,70.2176385061919
01055,AL,56.999403544241,56.9860211866189,44.6173838058826,70.8503939622449
01057,AL,57.8915037256404,58.2588129611299,43.8588423122469,70.2478311717903
01059,AL,57.4522190255061,57.7505359932656,44.9157276887911,68.8641809073058
01061,AL,59.3514889560933,59.8035788852823,46.8051245494945,71.2438027226328
01063,AL,62.9006282216447,63.0660616813189,50.0534868497246,74.8533115228673
01065,AL,61.8268344512311,61.9218235994294,50.7123390901864,72.822877192828
01067,AL,59.7056924669826,59.8411252818717,48.5183105827202,70.3272456367993
01069,AL,56.8688870288555,56.8885969699419,45.4412265617995,67.5975098469943
01071,AL,58.858443803027,58.8653199487118,45.5351354477491,72.521569930466
01073,AL,58.2492317083186,57.9405656020221,47.3750913524174,69.1620267143244
01075,AL,60.3305041184888,60.5511747316533,47.0181519412565,72.0047695176073
01077,AL,58.0138847902971,58.262148153939,42.4986649239196,70.9842099339284
01079,AL,59.1865389646956,59.0687340106745,46.6098089476506,71.6158350969653
01081,AL,53.6696511058704,53.936117722388,42.1738926675126,65.2230439399991
01083,AL,55.1133989190309,54.806450276462,42.7270839431978,68.2039435700191
01085,AL,62.1652591303092,62.8111537495107,49.952797822401,72.6461843234904
01087,AL,58.6860281296973,58.498789946503,45.9594024041475,71.6673705989938
01089,AL,54.8762190404455,54.7427913178995,42.8999841901695,66.4993753964127
01091,AL,60.6536416882898,60.8096018369384,49.5211653035062,71.0603835401334
01093,AL,57.8743171771615,57.7872502009757,44.0097585938777,72.3714981105119
01095,AL,55.8886684602542,56.0647973039854,42.963303191847,68.0069565305646
01097,AL,55.6522344403504,56.2338008479959,44.1453657871984,65.3533527075568
01099,AL,60.5121366846482,60.3994174735224,49.7444861048767,70.9383820712233
01101,AL,59.4546740516011,59.2612053890026,47.6877141800073,70.4227903196887
01103,AL,56.5196401754459,56.4122611446582,42.5312719177922,69.4820153562308
01105,AL,59.5120729878156,59.7883123942095,48.5259350760221,69.1291969369693
01107,AL,59.0333937793126,58.781922454909,49.0277560153894,69.864861802085
01109,AL,55.5754770642417,55.5365619672121,44.277387552348,66.5178532487837
01111,AL,60.4039187426821,60.4347891896286,47.7160945356779,72.4983891242029
01113,AL,57.7325271806733,57.9650088623491,45.8490135471602,68.6569547060493
01115,AL,56.6532756422162,57.2223221580871,41.4024557543216,69.403128879906
01117,AL,52.5282836123221,52.651136003154,39.1346008506836,65.7312900466276
01119,AL,59.0248577913856,58.9667636051709,47.3020467058841,69.6719935376892
01121,AL,59.1918703841718,59.3976871425488,46.8661642957815,70.9023585737269
01123,AL,59.7787001126716,59.9520516509947,47.4847397611458,70.806715820762
01125,AL,55.6876096608785,55.7834833752419,44.0799002339198,67.5517616851653
01127,AL,56.5036243167385,56.2381181127039,42.3401031013736,70.2657708792699
01129,AL,59.1429519202132,59.6597834469537,47.6412305191534,68.3140680172119
01131,AL,61.5277949991087,61.8266869462647,50.7185212138186,72.1542863558061
01133,AL,61.2102442134546,61.2701378200449,47.2205571227059,76.0411358728633
02013,AK,49.6729352841385,50.0459563729254,38.5615508655053,59.4183620440973
02016,AK,46.9468179068129,46.7851624655086,36.56908430904,59.0858685178408
02020,AK,51.2727076180088,51.3514294381232,40.7262845510202,62.2348867160524
02050,AK,51.5957628753685,51.5228270404971,35.7007718080521,67.6364481662628
02060,AK,50.4460068204473,50.25272454525,39.6564926441417,62.5854435884463
02063,AK,51.0137603454824,51.2939060498826,38.6597692498763,62.8614512606006
02066,AK,56.3925572715473,56.5100604246687,44.7528589315864,68.4573883632603
02068,AK,53.6747406355829,53.5103540461019,38.9326695661265,69.1827485088644
02070,AK,52.6400093943617,52.6429565914719,39.7564310178388,64.7820029545137
02090,AK,51.4718364496257,51.2815667833432,38.8191651088199,64.5866499737871
