ethnicity,mean,median,lower,upper
asian,43.2191021939043,43.1525630376849,40.9240407091585,45.6033099255748
black,58.4314543020351,58.4420389302708,56.9349659732671,59.8444350308667
hispanic,45.5789348314274,45.5785909286304,43.3136797074186,47.8433465380426
other,48.3409074974029,48.3381335675985,46.8878173941226,49.6993964485879
white,53.3433747676141,53.3556519436669,52.4262754517917,54.2645780627565
