age_group,mean,median,lower,upper
18-19,26.8224102561127,26.7752279487453,25.3828335903041,28.2446263835377
20-44,39.4483487060097,39.4909888431778,38.2980132715217,40.5479941894883
45-64,58.3632142638805,58.3337534522401,57.1775041791114,59.6247213056034
65plus,64.2493589297259,64.2434561592143,62.9957658420026,65.4974528155803
