age_group,gender,mean,median,lower,upper
18-19,female,22.4743977529142,22.433482735905,21.359199130655,23.7581459610195
18-19,male,26.2432561537726,26.2287531569801,24.9520904289345,27.6784136012317
20-44,female,35.2103446808054,35.1713729056487,33.8164803619707,36.7473663126388
20-44,male,39.9422149778488,39.8946895190181,38.4269612558704,41.476663099104
45-64,female,55.9679786743447,55.921809802821,54.4142034156333,57.5842559606666
45-64,male,60.7524906786972,60.8003050215039,59.1349873299135,62.229699488199
65plus,female,62.7991011863853,62.8105719006563,61.1558080401763,64.3326283125652
65plus,male,67.5168379331618,67.5617541300652,65.9462806174052,68.8616511262827
