FIPS,state,mean,median,lower,upper
01001,AL,55.9385134713888,55.8977077488943,42.9409281023823,69.5363687873682
01003,AL,56.8834624768121,57.0637695236483,41.7422394861232,69.9594649637138
01005,AL,59.5961622897964,59.7875321486245,48.6554161825854,69.8625504243791
01007,AL,56.448852442041,56.2840318531704,44.5743136846977,68.4918919910598
01009,AL,55.6224923760114,55.8773440873647,41.1843528615679,69.7081116039014
01011,AL,59.7056316945749,59.7713834457362,48.8211519417079,70.6294990008052
01013,AL,59.3846016037361,59.3846840794803,47.8499623358888,70.1220563074898
01015,AL,56.3335833929612,56.8465339278451,42.7264841687915,68.5925928527783
01017,AL,59.5680264362116,59.5837372376093,46.9797159221936,70.9366917484078
01019,AL,59.6232424163079,59.9347211588517,45.9143909033068,73.9339221154171
01021,AL,54.9928808748591,55.2027061531819,41.821733866205,67.2210829581526
01023,AL,60.2415388110331,60.3720064821597,49.704544747175,70.1751900270102
01025,AL,59.6506591939367,59.8659398106446,48.1359916836305,71.2561432146306
01027,AL,57.7007805143559,57.735785020318,44.8083551638039,70.974089415869
01029,AL,57.8217798959416,57.6371994231166,42.6463582832919,72.6836145444356
01031,AL,56.3830830383343,56.2427800709902,44.2270251718947,68.2840466875339
01033,AL,56.7716867510885,56.8500592051779,43.440568369173,68.6923454993588
01035,AL,60.5112489995864,60.5224572157838,50.4594227387494,70.0479965030562
01037,AL,60.6157203120431,60.898149076912,47.9774637619023,71.1742446289544
01039,AL,56.9978515348723,57.1936106642273,44.1125234334432,68.3997373471144
01041,AL,58.7772583671467,59.2412116770347,47.1327514256457,69.5493644465056
01043,AL,56.6026491886719,56.7308042095315,39.439910392382,71.6232220914411
01045,AL,55.9582112695521,55.9615739524124,43.0130153692338,67.9000508786758
01047,AL,60.8801444860548,61.1812358189615,49.0705360267669,70.5284163724661
01049,AL,55.6687098048514,55.6195652352685,41.2247292835905,69.4266045813015
01051,AL,54.5105700488329,54.1476586772498,42.1366405656352,67.3870788937284
01053,AL,58.0397455901167,58.0643963017634,47.1731279294505,70.1962331568498
01055,AL,56.6113922098248,56.6720936667891,42.0992207940858,70.2934332496172
01057,AL,57.1975398907351,57.5302701006437,43.7400396839529,70.9218871897156
01059,AL,55.3229900375124,55.4532639926452,41.4383388285696,67.7157673429734
01061,AL,57.536307477255,57.7897215120207,43.5552712696412,70.3297843898542
01063,AL,63.1364641639185,63.3381554691342,50.0290619475894,75.4951441470609
01065,AL,60.786679765879,60.4586832920361,50.586532684944,71.5795400357397
01067,AL,58.2213064666941,58.4191925496528,45.8359039806064,70.3943976931764
01069,AL,56.0476469823205,56.1567353425734,43.9995415992611,67.6872536791345
01071,AL,55.7520485528481,56.0200257571379,40.5019301539874,70.7616572024979
01073,AL,56.7500296931935,56.6344609305667,46.2005401412287,67.2670426947056
01075,AL,58.7572721787308,59.019949979106,45.2513536241382,71.4289233129708
01077,AL,56.1398939410364,56.1954886634759,43.4446957115487,68.6220965854852
01079,AL,58.4063775968464,58.3678563388513,45.3952783758906,70.9664366269193
01081,AL,52.7962235680066,52.8493882911657,39.6386420771354,65.1696586162415
01083,AL,54.6785727091778,54.6073838857254,41.5484540566341,66.7849524172225
01085,AL,60.6990666052534,60.1954790267209,49.7848312999374,72.2465621724835
01087,AL,58.357290117371,58.6662950868683,46.1859180428738,69.8816844272828
01089,AL,54.6348342914818,54.5506304649546,43.0093474897431,65.7391781207413
01091,AL,60.3736856993373,60.5336110124064,49.8195609907534,70.5420076761805
01093,AL,57.6634599396648,57.8240191246848,43.0711351888298,71.9388988926727
01095,AL,53.3639035625228,53.359534192226,39.6889614615597,66.7350842101911
01097,AL,56.1513159928402,56.2890313585801,44.730885021918,66.4784415256436
01099,AL,58.0597669909622,58.1903797244819,47.7322225112817,69.2520853390032
01101,AL,57.6230385392277,57.6874334577471,46.5876724470358,68.990287714148
01103,AL,55.7907849605643,56.0854931066805,42.1264512042109,69.0145314084599
01105,AL,58.4043479884399,58.3394132156924,48.5792842058496,68.9010719276359
01107,AL,58.9810986916417,58.8965116086547,47.5298738926508,69.2848970853844
01109,AL,54.4221456074611,54.1317330003667,44.3013379518148,65.2653829923278
01111,AL,57.9031084984788,58.1863730394467,45.3602755504025,69.0515791390665
01113,AL,56.4274404727298,56.3819473726422,46.9733394372919,67.4686857317302
01115,AL,54.3191330084018,55.1294095568184,40.0347432930105,68.0596042531213
01117,AL,53.129662973425,52.928338200886,41.0436710761811,66.8031168777362
01119,AL,58.7970248348192,58.7925259427378,47.845056158369,69.8636077767181
01121,AL,55.8092001049336,55.8694479850477,44.5927082097277,67.3780451931543
01123,AL,57.1564163842351,57.5311809478978,44.7382346731566,68.7527506853197
01125,AL,53.5980429285247,53.5681863119507,42.1191521744387,65.0458346132291
01127,AL,58.0926823962893,58.054503245219,43.7092444197046,72.1199066291352
01129,AL,57.6623461327443,57.6737597853506,47.603640381671,67.3621314104008
01131,AL,60.2379616426423,60.1342717749081,48.9298325721296,71.8866682016744
01133,AL,58.6255112832493,58.79171866981,43.6113036147519,72.2534409637713
