age_group,mean,median,lower,upper
18-19,24.4009376144638,24.3792351246658,23.4520660365982,25.4798318190138
20-44,37.6203789328912,37.6210797212099,36.5361914556164,38.7493010397668
45-64,58.3425042036832,58.344650041152,57.1513539500471,59.4469757936896
65plus,64.9097202932794,64.932857724514,63.6973693481898,65.9991423440624
