year,state,n,percent
2021,WV,62165,0.0736535307582073
2019,VT,14262,0.016897718260654
2020,VT,5509,0.00652710208231262
2021,VT,5959,0.00706026525839552
2023,ND,18650,0.0220966516309912
2019,SD,67635,0.0801344253652594
2017,SD,70,8.29364940573395e-05
2018,SD,14892,0.01764414670717
2017,ID,166,0.000196677971621691
2018,Sante Fe Springs,3,3.55442117388598e-06
2017,RI,79,9.35997575789975e-05
2018,RI,8721,0.0103327023524865
2024,HI,22333,0.0264602960254652
2023,SD,38967,0.046168376627605
2017,NH,102,0.000120850319912123
2018,NH,12451,0.0147520326786848
2024,AK,7852,0.00930310501911757
2021,RI,21170,0.0250823654170554
2017,PR,158,0.000187199515157995
2024,DE,7967,0.0094393578307832
2022, TX 76180,4474,0.00530082677732196
2017,DC,28,3.31745976229358e-05
2018,DC,4323,0.0051219209115697
2019,Washington,152,0.000180090672810223
2024,VT,2153,0.00255088959579217
2017,Irvine,23,2.72505623331259e-05
2018,Irvine,2673,0.00316698926593241
2019,Irvine,9317,0.0110388473590319
2024,Irvine,2457,0.00291107094141262
2024,SD,10105,0.0119724753207059
2017,MT,112,0.000132698390491743
2019,Wailuku,16,1.89569129273919e-05
2018,VT,1486,0.00176062328813152
2019,DE,44355,0.0525521170559042
2017,VT,12,1.42176846955439e-05
2023, TX 76180,4973,0.00589204549924499
2023,Irvine,8188,0.0097012001905928
2022,DC,7094,0.00840502126918238
2017,DE,104,0.000123219934028047
2018,DE,9857,0.0116786431703314
2017,WY,76,9.00453364051115e-05
2018,WY,7746,0.0091775154709736
2018, TX 76180,1446,0.00171323100581304
2019,San Diego,2,2.36961411592399e-06
2018,Ak,365,0.000432454576156128
2019,Ak,13,1.54024917535059e-05
2023,Hatillo,3113,0.00368830437143569
2024, TX 76180,1311,0.00155328205298817
2017,Washington,26,3.08049835070118e-05
2018,Washington,1432,0.00169664370700157
2017,Fraser,16,1.89569129273919e-05
2018,Fraser,44,5.21315105503277e-05
2024,Hatillo,2387,0.00282813444735528
2020,Bourbonnais,1133,0.00134238639667094
2021,Bourbonnais,591,0.000700220971255538
2023,Bourbonnais,1904,0.00225587263835964
2024,Bourbonnais,668,0.000791451114718612
2023,Prescott,1824,0.00216108807372268
2022,Bourbonnais,1540,0.00182460286926147
2019, TX 76180,5119,0.00606502732970745
2019,MA,1,1.18480705796199e-06
2018,Cleveland,1,1.18480705796199e-06
2020, TX 76180,2210,0.00261842359809601
2021, TX 76180,2064,0.00244544176763355
2018,Bourbonnais,1213,0.0014371709613079
2019,Bourbonnais,4050,0.00479846858474607
