ethnicity,n,percent
black,11327457,13.420851002361
white,41768753,49.4879133566712
other,1822452,2.15925399239695
hispanic,18073364,21.4134492283162
native_american,585537,0.693748370297892
asian,4153327,4.92089114362411
pacific_islander,474404,0.562077207525402
american_indian,1148932,1.36126274271839
,4967917,5.88602312496937
female,31731,0.037595112756192
male,48032,0.0569086526080305
caucasian,12,1.42176846955439e-05
hispanic_latino,9,1.06632635216579e-05
0,1,1.18480705796199e-06
