bp_diastolic,n,percent
144,6382,0.00756143864391344
145,4260,0.00504727806691809
146,5013,0.00593943778156347
147,3968,0.00470131440599319
148,3658,0.00433402421802497
149,2780,0.00329376362113434
150,2568,0.0030425845248464
151,2167,0.00256747689460364
152,1927,0.00228312320069276
153,2459,0.00291344055552854
154,854,0.00101182522749954
155,1361,0.00161252240588627
156,776,0.000919410276978507
157,1233,0.00146086710246714
158,1033,0.00122390569087474
159,972,0.00115163246033906
160,791,0.000937182382847937
161,835,0.000989313893398265
162,292,0.000345963660924902
163,663,0.000785527079428802
164,658,0.000779603044138992
165,633,0.000749982867689942
166,555,0.000657567917168906
167,538,0.000637426197183553
168,507,0.000600697178386731
169,511,0.000605436406618579
170,182,0.000215634884549083
171,446,0.000528423947851049
172,471,0.000558044124300099
173,409,0.000484586086706455
174,381,0.00045141148908352
175,376,0.00044548745379371
176,371,0.0004395634185039
177,313,0.000370844609142104
178,290,0.000343594046808978
179,78,9.24149505210355e-05
180,244,0.000289092922142726
181,237,0.000280799272736993
182,191,0.000226298148070741
183,179,0.000212080463375197
184,285,0.000337670011519168
185,146,0.000172981830462451
186,124,0.000146916075187287
187,38,4.50226682025558e-05
188,98,0.000116111091680275
189,97,0.000114926284622313
190,78,9.24149505210355e-05
191,73,8.64909152312255e-05
192,83,9.83389858108455e-05
193,54,6.39795811299477e-05
194,52,6.16099670140237e-05
195,6,7.10884234777196e-06
196,48,5.68707387821757e-05
197,55,6.51643881879096e-05
198,44,5.21315105503277e-05
199,39,4.62074752605177e-05
200,37,4.38378611445938e-05
201,33,3.90986329127458e-05
202,52,6.16099670140237e-05
203,2,2.36961411592399e-06
204,33,3.90986329127458e-05
205,31,3.67290187968218e-05
206,39,4.62074752605177e-05
207,27,3.19897905649738e-05
208,22,2.60657552751639e-05
209,25,2.96201764490498e-05
210,24,2.84353693910878e-05
211,16,1.89569129273919e-05
213,15,1.77721058694299e-05
214,12,1.42176846955439e-05
215,35,4.14682470286698e-05
216,9,1.06632635216579e-05
217,11,1.30328776375819e-05
218,9,1.06632635216579e-05
219,9,1.06632635216579e-05
221,9,1.06632635216579e-05
222,9,1.06632635216579e-05
223,2,2.36961411592399e-06
224,10,1.18480705796199e-05
225,4,4.73922823184797e-06
226,10,1.18480705796199e-05
227,3,3.55442117388598e-06
228,1,1.18480705796199e-06
229,3,3.55442117388598e-06
230,4,4.73922823184797e-06
231,2,2.36961411592399e-06
232,5,5.92403528980997e-06
233,3,3.55442117388598e-06
234,3,3.55442117388598e-06
236,6,7.10884234777196e-06
238,3,3.55442117388598e-06
239,3,3.55442117388598e-06
240,1,1.18480705796199e-06
241,2,2.36961411592399e-06
242,2,2.36961411592399e-06
243,1,1.18480705796199e-06
244,4,4.73922823184797e-06
246,1,1.18480705796199e-06
247,2,2.36961411592399e-06
248,1,1.18480705796199e-06
249,1,1.18480705796199e-06
250,1,1.18480705796199e-06
254,1,1.18480705796199e-06
264,1,1.18480705796199e-06
280,1,1.18480705796199e-06
335,1,1.18480705796199e-06
340,1,1.18480705796199e-06
352,5,5.92403528980997e-06
550,2,2.36961411592399e-06
620,3,3.55442117388598e-06
630,1,1.18480705796199e-06
660,1,1.18480705796199e-06
670,1,1.18480705796199e-06
690,2,2.36961411592399e-06
700,3,3.55442117388598e-06
710,1,1.18480705796199e-06
720,2,2.36961411592399e-06
740,2,2.36961411592399e-06
750,5,5.92403528980997e-06
760,1,1.18480705796199e-06
770,6,7.10884234777196e-06
780,2,2.36961411592399e-06
790,3,3.55442117388598e-06
800,6,7.10884234777196e-06
810,7,8.29364940573395e-06
830,5,5.92403528980997e-06
840,2,2.36961411592399e-06
850,2,2.36961411592399e-06
858,1,1.18480705796199e-06
860,2,2.36961411592399e-06
870,3,3.55442117388598e-06
880,3,3.55442117388598e-06
890,4,4.73922823184797e-06
900,1,1.18480705796199e-06
910,2,2.36961411592399e-06
920,2,2.36961411592399e-06
930,1,1.18480705796199e-06
940,2,2.36961411592399e-06
950,1,1.18480705796199e-06
970,1,1.18480705796199e-06
980,2,2.36961411592399e-06
990,3,3.55442117388598e-06
1000,1,1.18480705796199e-06
1010,2,2.36961411592399e-06
1020,1,1.18480705796199e-06
1040,3,3.55442117388598e-06
1070,1,1.18480705796199e-06
1080,1,1.18480705796199e-06
1110,1,1.18480705796199e-06
1130,1,1.18480705796199e-06
1140,1,1.18480705796199e-06
1160,2,2.36961411592399e-06
1164,1,1.18480705796199e-06
1204,1,1.18480705796199e-06
1234,2,2.36961411592399e-06
1254,1,1.18480705796199e-06
1264,1,1.18480705796199e-06
1284,1,1.18480705796199e-06
1304,2,2.36961411592399e-06
1324,2,2.36961411592399e-06
1334,1,1.18480705796199e-06
1364,2,2.36961411592399e-06
1374,1,1.18480705796199e-06
1384,1,1.18480705796199e-06
1414,2,2.36961411592399e-06
1424,2,2.36961411592399e-06
1434,1,1.18480705796199e-06
1454,1,1.18480705796199e-06
1464,1,1.18480705796199e-06
1654,1,1.18480705796199e-06
1994,1,1.18480705796199e-06
