bp_diastolic,n,percent
0,48,5.68707387821757e-05
11,4,4.73922823184797e-06
18,2,2.36961411592399e-06
19,3,3.55442117388598e-06
20,14,1.65872988114679e-05
21,23,2.72505623331259e-05
22,50,5.92403528980997e-05
23,64,7.58276517095676e-05
24,110,0.000130328776375819
25,168,0.000199047585737615
26,203,0.000240515832766285
27,295,0.000349518082098788
28,372,0.000440748225561862
29,499,0.000591218721923035
30,569,0.000674155215980374
31,812,0.000962063331065139
32,115,0.000136252811665629
33,1249,0.00147982401539453
34,1414,0.00167531717995826
35,2165,0.00256510728048772
36,2474,0.00293121266139797
37,3143,0.00372384858317455
38,4213,0.00499159213519388
39,5653,0.00669771429865915
40,6894,0.00816805985758998
41,9927,0.0117615796643887
42,11329,0.0134226791596514
43,16578,0.0196417314068939
44,19311,0.0228798090963041
45,24170,0.0286367865909414
46,30673,0.0363415868888682
47,38667,0.0458129345102164
48,53050,0.0628540144248838
49,61272,0.0725954980554473
50,83703,0.0991719051725927
51,94823,0.11234695965713
52,116648,0.138205373697151
53,140069,0.165954739801678
54,174510,0.206760679684948
55,208928,0.247539369005883
56,268943,0.318645564589472
57,300996,0.356622185218328
58,407059,0.482286376206951
59,428588,0.507794087357815
60,525662,0.622808047702417
61,584621,0.692663087032799
62,677305,0.802475744392948
63,781581,0.926022685168993
64,932883,1.10528636265276
65,1012935,1.20013253725673
66,1304248,1.54528223573281
67,1365940,1.61837535275261
68,1445589,1.71274405011222
69,1606140,1.90296600807508
70,1740700,2.06239364579444
71,1937958,2.29610631643391
72,1987508,2.35481350615593
73,2418157,2.8650494808602
74,2310694,2.73772655999043
75,2690127,3.18728145641412
76,2569630,3.04451576035088
77,2601437,3.08220091844347
78,2684875,3.18105884974571
79,2782053,3.29619603002434
80,2785918,3.30077530930336
81,3010296,3.56661994735476
82,2718716,3.2211539053942
83,3182503,3.77065201638522
84,2680292,3.17562887899907
85,2641234,3.12935268492919
86,2535415,3.00397758686271
87,2427773,2.87644258552956
88,2440291,2.89127400028113
89,2161250,2.56066425402036
90,2402107,2.84603332757991
91,1880207,2.22768252402955
92,1733962,2.05441041583789
93,1615922,1.91455579071606
94,1486471,1.76118133225582
95,1332881,1.57920681622344
96,1254040,1.48579544296666
97,1046537,1.23994442401837
98,1091955,1.29375599097689
99,836760,0.991399153820278
100,766442,0.908085891118506
101,669569,0.793310076992554
102,586008,0.694306414422192
103,524735,0.621709731559687
104,480467,0.569260692717825
105,462475,0.547943644130973
106,84338,0.0999242576543986
107,333882,0.395585750126466
108,317957,0.376717697728422
109,264637,0.313543785397888
110,237788,0.281732900698667
111,206454,0.244608156344485
112,182955,0.216766375289437
113,158763,0.18810352294322
114,154833,0.183447231205429
115,125902,0.149169578211531
116,122869,0.145576058404732
117,96219,0.114000950310045
118,89275,0.105773650099557
119,78071,0.0924990718221508
120,70734,0.0838061424378837
121,62830,0.074441427451752
122,57688,0.0683491495597115
123,48411,0.0573576944829981
124,48867,0.0578979665014287
125,38436,0.0455392440798272
126,34274,0.0406080771045894
127,30703,0.0363771311006071
128,27414,0.0324803006869701
129,25417,0.03011424099222
130,23456,0.0277908343515565
131,24077,0.0285265995345509
132,19818,0.0234805062746908
133,19843,0.0235101264511398
134,18189,0.0215504555772707
135,17735,0.021012553172956
136,15611,0.0184960229818447
137,13308,0.0157674123273582
138,13728,0.0162650312917022
139,13262,0.015712911202692
140,10874,0.0128835919482787
141,10248,0.0121419027299945
142,8006,0.00948556530604372
143,7434,0.00880785566888946
