GEOID,NAME,hisp,nhasn,nhblk,nhother,nhwhite
01,Alabama,0.0462217079560199,0.0137425886399851,0.262204430626966,0.0320073697935519,0.645823902983478
02,Alaska,0.0746984639796631,0.0632902434742611,0.0304836143768346,0.247981481204266,0.583546196964975
04,Arizona,0.320332217835272,0.0326066376085045,0.0429048941466607,0.0741825265654641,0.529973723844099
05,Arkansas,0.0806053926415914,0.0154349483166256,0.150638576140677,0.0563967099407057,0.696924372960401
06,California,0.396836282371853,0.148938751660988,0.0534227168420939,0.0489306817565072,0.351871567368559
08,Colorado,0.220725758518331,0.0314234272950497,0.0383328799003256,0.0472890193543692,0.662228914931924
09,Connecticut,0.17373384834397,0.0469493539337588,0.0985706876466397,0.0414657588907316,0.6392803511849
10,Delaware,0.0993282241466937,0.0406527547842014,0.214883734973104,0.0437756318970246,0.601359654198977
11,District of Columbia,0.115075299700114,0.0395355114250649,0.435260450918375,0.0466710508852692,0.363457687071178
12,Florida,0.265237251062873,0.0275868265955778,0.149431078439471,0.0380887423063382,0.519656101595741
13,Georgia,0.100580517751514,0.0430125928844724,0.310948884686857,0.0376245823550396,0.507833422322118
15,Hawaii,0.109626503441016,0.364928315325706,0.0183814988256494,0.296649843615249,0.21041383879238
16,Idaho,0.130648198137218,0.0130461585591786,0.0064284246503307,0.0492403628912863,0.800636855761986
17,Illinois,0.178379784213907,0.0573144675572289,0.136714299845881,0.0317431116145831,0.595848336768401
18,Indiana,0.0753174597676465,0.0247032789767943,0.0931429043940933,0.0346855869263663,0.7721507699351
19,Iowa,0.0654273220698713,0.0245359121635606,0.0369852824039869,0.0348365359648474,0.838214947397734
20,Kansas,0.126014928189509,0.0296363459247214,0.0537371224439886,0.0483817349370998,0.742229868504681
21,Kentucky,0.0400807473347939,0.015227623760947,0.0789191938147009,0.0332805159301655,0.832491919159393
22,Louisiana,0.0550762776621544,0.0171441033016374,0.31377924063246,0.0388167685440463,0.575183609859702
23,Maine,0.0189458421638262,0.0109323756775125,0.015430714679187,0.0405106554816603,0.914180411997814
24,Maryland,0.109207562125236,0.0644274386951538,0.294703561853882,0.0465677774032423,0.485093659922486
25,Massachusetts,0.125897793664419,0.0693408913398161,0.0658411372518418,0.0502681407547459,0.688652036989178
26,Michigan,0.0547257231390066,0.0323589735890747,0.133916144300597,0.0438432554799347,0.735155903491387
27,Minnesota,0.0574244481231164,0.0499331728733136,0.0662254016124195,0.0497330075437748,0.776683969847376
28,Mississippi,0.0328246214909461,0.00968722265369674,0.371318750621019,0.0274475251500078,0.55872188008433
29,Missouri,0.0455084165499213,0.0204539110252758,0.111825123464072,0.0464878748971065,0.775724674063624
30,Montana,0.0420217247948417,0.00824479777256741,0.00480656506447831,0.0989577227432591,0.845969189624853
31,Nebraska,0.117803055633687,0.024730734341396,0.046635959567909,0.0401191665488308,0.770711083908177
32,Nevada,0.295833538659444,0.0826654195722324,0.0897602016479554,0.0679698674672292,0.463770972653139
33,New Hampshire,0.0425149136350128,0.0262624944730757,0.0133929153891317,0.0351816817796334,0.882647994723146
34,New Jersey,0.21228344968566,0.097929055083742,0.124095813813789,0.0358634166509624,0.529828264765847
35,New Mexico,0.497819843471815,0.0152494978610276,0.0179865872206992,0.112760791549959,0.3561832798965
36,New York,0.194840459911258,0.0876618373593899,0.138400047333303,0.0408556324755072,0.538242022920542
37,North Carolina,0.100380756305459,0.0308393887651198,0.206475340427617,0.0456993524678674,0.616605162033937
38,North Dakota,0.0427212134786336,0.0159356600941723,0.0320283598112435,0.0798121703133327,0.829502596302618
39,Ohio,0.0420075003293082,0.0238849742281809,0.121552147093896,0.040154626668081,0.772400751680534
40,Oklahoma,0.115523572993507,0.0228349246958252,0.0699413700602217,0.154518691236891,0.637181441013556
41,Oregon,0.137861064072366,0.0437769277439167,0.0179199096603895,0.0672863170767116,0.733155781446616
42,Pennsylvania,0.0812295869001405,0.0361403097094142,0.103761830590441,0.0343157180945905,0.744552554705414
44,Rhode Island,0.1674169522504,0.0339748686314828,0.0532821567283528,0.0469846927119031,0.698341329677862
45,South Carolina,0.0620047639881387,0.0165226775557824,0.255908609207136,0.0355175732827767,0.630046375966166
46,South Dakota,0.0440246556941041,0.0142394720231102,0.0215332984403746,0.113707990861938,0.806494582980473
47,Tennessee,0.0595949722203446,0.0183956086364485,0.161309615625702,0.0349445360130287,0.725755267504476
48,Texas,0.398903791502353,0.0508560204917755,0.117960423264892,0.0310659089511725,0.401213855789807
49,Utah,0.146428431129825,0.0232300356080393,0.0105015242969369,0.0520636248941397,0.767776384071059
50,Vermont,0.0214238229556271,0.0165854840513439,0.011723846564857,0.0359714576835618,0.91429538874461
51,Virginia,0.100297280622635,0.0680101167474886,0.185711166696871,0.0462492308259564,0.599732205107049
53,Washington,0.134895804136775,0.0913483155274162,0.0378363979991543,0.0805915394439185,0.655327942892736
54,West Virginia,0.0183550505949078,0.00750710972371494,0.0335962680852464,0.0339905865529037,0.906550985043227
55,Wisconsin,0.0732687217959215,0.0284781290036531,0.0605478153484589,0.0388503956391292,0.798854938212837
56,Wyoming,0.104715285095574,0.00787466972586598,0.00776565979558043,0.0544201796414439,0.825224205741536
72,Puerto Rico,0.987454093073486,0.000771914770341604,0.00123549145545966,0.00222956855281566,0.00830893214789716
