ethnicity,mean,median,lower,upper
asian,32.8410616254964,32.8885156686154,30.7319354485649,34.913675199028
black,44.2265858366377,44.2139058128859,42.8512384713306,45.7190084802375
hispanic,34.51972883532,34.4563724476372,32.6131206259693,36.4375339041858
other,37.6840392941361,37.6895549356622,36.3486055202328,38.9199888510756
white,42.363385875931,42.3473957866624,41.6176167751617,43.2699432391974
