state,mean,median,lower,upper
AL,0.730500305180195,0.731045216810516,0.705624497532627,0.757096820396607
AK,0.675316620337507,0.674259837631517,0.616250254703531,0.731360926547253
AZ,0.702959992110056,0.70373221507472,0.628250946769832,0.766941181877893
AR,0.729270801207302,0.729455762980439,0.703347386459171,0.75292621988267
CA,0.695210032449641,0.696190014038527,0.663113782573547,0.726613987341237
CO,0.681952436976515,0.683393840301798,0.640962654503889,0.714932289893006
CT,0.72036069500676,0.719856914974608,0.678311544758181,0.762943666615958
DE,0.723352270257488,0.725450270517162,0.651630029295721,0.791417527025318
DC,0.695154233789945,0.697229998650758,0.577461272441803,0.799290024637653
FL,0.737377138258627,0.737826762617844,0.715746062158259,0.758925988286771
GA,0.69446890043307,0.694806692081828,0.672570089715299,0.713594361542973
HI,0.716003984321575,0.717147557169934,0.643662823094089,0.777214183207612
ID,0.700264669236441,0.69976773288804,0.652304327121086,0.748918212301517
IL,0.69338415306284,0.693874219323543,0.652342972693472,0.731655473009541
IN,0.709708526007319,0.709432263500309,0.682773194023124,0.737002143861035
IA,0.684002111642249,0.684075336841065,0.65007468733542,0.713297464332712
KS,0.703323911025221,0.703510623543257,0.666385079664115,0.738262996682485
KY,0.737200636608044,0.737685252999497,0.70834278897287,0.762321021792525
LA,0.725745237639163,0.726311781414401,0.701424423037824,0.747562868869453
ME,0.711448220509639,0.71189259081819,0.662748942891737,0.759782867626287
MD,0.719771581881884,0.720582868219262,0.684134094351977,0.751223832742098
MA,0.70969161943267,0.709391621107732,0.669209474896135,0.749618314215946
MI,0.703189119176317,0.703626310969868,0.670516175232543,0.734592081213053
MN,0.672483330486801,0.673110861432298,0.632619023110447,0.708892824870981
MS,0.73583871579449,0.735649137440531,0.715598004785075,0.759411019868116
MO,0.707710690374809,0.708620956682855,0.678680985478212,0.734644701738599
MT,0.697279749002727,0.698558883072995,0.649950447416229,0.738524333607983
NE,0.686668027759489,0.686517610987019,0.638971852100487,0.730826075061062
NV,0.695834694296075,0.69838588614749,0.623924113355051,0.760502015763897
NH,0.70751745812839,0.70730749254215,0.638977285646256,0.767357595883985
NJ,0.714575463084476,0.71584926989583,0.682497259754732,0.742548785702213
NM,0.702495520078841,0.702518979500401,0.661994944819047,0.742271714088795
NY,0.716953497938353,0.717289272513082,0.689013225725548,0.743764903278488
NC,0.719782143730315,0.718945479917144,0.700065984596314,0.740514078239088
ND,0.682061485181251,0.681607544054441,0.633645900992207,0.728922605332013
OH,0.710946881852527,0.71147452311687,0.681920339748702,0.734660936557218
OK,0.7169940572802,0.717559226471937,0.687370825609055,0.745162498887474
OR,0.696982242401315,0.697031541980028,0.654143779324352,0.732178494823033
PA,0.708728462358399,0.708976806471357,0.67978213477178,0.732857065926829
RI,0.725802944845438,0.728185666275929,0.648599064673378,0.78655064586414
SC,0.719586194090358,0.71969163072818,0.690862150751989,0.745161500981338
SD,0.675379929934516,0.677241440622622,0.629333764028295,0.717040034848632
TN,0.721669166219973,0.722302650097907,0.694461182040175,0.744924738844116
TX,0.693636588138523,0.692685319065561,0.669884778390436,0.71744572150833
UT,0.684383969923977,0.685645303996014,0.622077055711003,0.741186916541693
VT,0.71842336801063,0.71938487881285,0.664692402954535,0.766919440065045
VA,0.705794868217603,0.706357707435218,0.68497420334558,0.726127048201361
WA,0.691462176267196,0.691984896666917,0.646715308450579,0.733471199886562
WV,0.737811150364019,0.737875239707929,0.709493929288776,0.765259690969772
WI,0.689966340475484,0.689966816034874,0.660975748254966,0.718499628828276
WY,0.692564978270457,0.694436724512463,0.651270141258533,0.734424797872162
