age_group,gender,mean,median,lower,upper
18-19,female,34.0916596987976,34.0721372884631,32.7819554834025,35.7632902763173
18-19,male,43.2533094688028,43.2130961123495,41.6004620228219,44.8196178746384
20-44,female,51.1723146233972,51.1585779930011,49.5641490667259,52.7945975125705
20-44,male,60.7763770636372,60.7659899640929,59.1646047106919,62.3566453949631
45-64,female,69.69154037456,69.6780325110206,68.318783988078,71.1240897282287
45-64,male,77.3275596758006,77.3780260718528,76.0273226125522,78.4719572946935
65plus,female,70.8542157088396,70.8775140824872,69.3117099949954,72.2410391410389
65plus,male,78.4374335307543,78.5030882297896,77.1355365666656,79.5290690042649
