state,mean,median,lower,upper
AL,70.3279096722922,70.3837487182818,67.7713941146182,72.8495180864218
AK,66.211056015208,66.2241963925523,60.7694650700121,71.5798418620066
AZ,64.1442791269638,64.2359389294285,57.7451298946271,71.1959134680539
AR,70.1801325245615,70.1947905876385,67.5217127456425,72.7477194591727
CA,63.9074324504043,63.8187516896592,60.5942561444478,67.3480023479572
CO,64.6494654146328,64.6652957038001,61.2114982732846,68.2145629512639
CT,66.04960700491,66.0233956823938,61.2292527433876,70.8501991384993
DE,67.2171413259362,67.0996986068121,60.1248015449935,74.0744754587509
DC,60.4062604303514,60.5269194263046,49.39977855356,70.6537773352466
FL,64.2731199409866,64.253441077589,61.8450450047273,66.9857655741372
GA,67.2640262387025,67.2371704452049,64.8158270950407,69.5429659192111
HI,64.3062697196853,64.0555353505842,57.2923125824909,71.6619723447572
ID,65.7610177844311,65.7745761931907,60.8866567327159,70.5109065162813
IL,66.6815624661712,66.6166830655613,62.5380178378548,70.8430761846512
IN,68.8684755406895,68.8969321324074,66.2371161182525,71.4924915080143
IA,68.0422065818254,68.0536315796199,64.8833435874849,71.2123712015217
KS,69.0641693666246,69.1938965916879,64.990434155034,72.5985662411543
KY,69.56482145172,69.5636789801939,66.5692927418567,72.2910446367375
LA,69.5078480355155,69.490016129994,66.4685985746149,72.0012700762001
ME,67.7945103719318,67.9200723209805,62.6045450015458,72.8952372102576
MD,66.4390857597209,66.503927678351,62.5880127907315,70.0454937606146
MA,64.5010416376937,64.4946751140375,60.4078300802359,68.2210091490306
MI,67.954901202258,68.0619088132187,64.4357173542484,71.1602319014976
MN,67.4342145738749,67.6078036368975,63.6093853078314,71.1047207258033
MS,71.3189138791041,71.2464090107441,69.1729313807246,73.7967853237791
MO,70.7591696840596,70.7706472614844,67.8489023616661,73.7927863422878
MT,67.3252888573257,67.2822516592856,62.8286062837405,71.6764594030799
NE,66.8482441583124,66.7398737521552,61.9531477900064,71.2966194679253
NV,63.8961220818232,63.9509937572628,56.741353777388,70.9293963472419
NH,66.3048451911895,66.4983982930456,60.2060063775362,72.1095148990144
NJ,62.9012631422314,62.9440336311869,59.611191066975,66.2008459489208
NM,65.3996725124369,65.4342226084627,61.0818503798895,69.6456134076377
NY,64.8557965588656,64.8709663719561,61.9673349836644,68.0371836275563
NC,67.8137177358455,67.7888275187818,65.5839953507403,69.9788541400355
ND,67.0663008738578,67.2151926557634,61.7290477249029,71.5798322122683
OH,67.9777294987992,68.013269238124,65.2705472502007,70.7375511576358
OK,68.8163224119895,68.8592690435912,65.7133118168876,71.938195193583
OR,67.8009511422146,67.8559015851388,63.7397233233857,72.0217914048752
PA,67.2665871938325,67.3221595324387,64.1513834831484,70.2554348586783
RI,66.2414593460589,66.4464706318186,58.6540673688612,73.1972236718942
SC,69.1374664367186,69.0631385009513,66.3604773152443,72.0379800148255
SD,67.7576516748551,67.7584172353286,63.0525057608137,71.6238271144979
TN,69.4913915049668,69.470196598965,66.959380881925,72.0418173981374
TX,65.1470173435077,65.1645740016679,62.3299513213293,67.588567784994
UT,61.1480630909329,61.0683448989733,55.1063634179319,67.3949836785848
VT,66.5386334541795,66.6001374413006,61.0616079815304,72.0752025805862
VA,66.0234603834964,66.0440649897127,63.7530926637671,68.3029027712746
WA,67.1022896026274,67.1551418887663,62.717795589529,70.9310616060447
WV,70.0722597331978,70.1399597473635,67.0121295003099,72.8630027558045
WI,67.1241850528134,67.1086225047438,64.1748130784204,70.2428711031021
WY,67.7634277652927,67.9562691239013,63.2155525942414,71.9321865148895
