state,mean,median,lower,upper
AL,0.543068430270582,0.543300872920407,0.502421838547782,0.577310039469889
AK,0.503764689123694,0.504545169142063,0.430131257809963,0.57208477364386
AZ,0.530999198396953,0.529190925345015,0.437036151206598,0.605980211354285
AR,0.529809697066485,0.530237958521941,0.492574864007894,0.564464984142649
CA,0.544150123658105,0.543944158057192,0.505447160271396,0.581456478583813
CO,0.518909610570611,0.518719454220448,0.476089497583531,0.568054553022646
CT,0.554318899751999,0.553203974586947,0.489013032253796,0.61269275685101
DE,0.529303587237631,0.530280479530445,0.445808027935977,0.614389500714358
DC,0.489599469718872,0.489717066826498,0.365550655590282,0.608087897165933
FL,0.575907697351229,0.576406518448327,0.541599336002802,0.612804825018565
GA,0.507627346878854,0.507726722982543,0.478031243342673,0.535628186855751
HI,0.569867845745678,0.571632603704819,0.482483779871604,0.653027309093727
ID,0.507866736066718,0.508848588237538,0.446987258905849,0.564106140038358
IL,0.499763639617596,0.499015485823629,0.442971629884346,0.553390052989925
IN,0.505488561215082,0.505060459757317,0.471746745658508,0.544643926552746
IA,0.499793548624371,0.499195787921784,0.460133171287567,0.544303614640883
KS,0.518146028151276,0.519929220793651,0.466584691483718,0.567123441242053
KY,0.551865888862818,0.551765907665787,0.516263418809929,0.591232347348177
LA,0.530040575501918,0.530247484438175,0.497891436452362,0.561668263650287
ME,0.551697742155699,0.553656448415717,0.475975642944355,0.623852211981594
MD,0.528684216369886,0.526910424622063,0.479427404893542,0.57747832694441
MA,0.559497679035131,0.561692746901367,0.5032446051538,0.607651580268523
MI,0.498607846784292,0.498917626202706,0.45473305506223,0.543204917156813
MN,0.489386913516263,0.488698566977362,0.443598215261796,0.536577155227791
MS,0.529446135152463,0.529722365706672,0.493892213183833,0.560536774098579
MO,0.471262174450516,0.471827141736022,0.428719061988739,0.507835639857336
MT,0.509100947856844,0.508404581127894,0.451062422583318,0.566897865388293
NE,0.491881854861792,0.490825426694155,0.439936786339471,0.547777036327424
NV,0.502436743403228,0.502038022130229,0.410824344477968,0.587870596590705
NH,0.559229126453088,0.556300340133135,0.475802704283969,0.638740735893457
NJ,0.569632172276455,0.568963640833244,0.527200278504126,0.612331715373097
NM,0.543911698306371,0.544902779217273,0.490795250449023,0.591919862380971
NY,0.559570257101179,0.55740985786682,0.516673636552205,0.601320251817743
NC,0.52501109936778,0.524913800829499,0.496091770637712,0.556635356413911
ND,0.497582411833376,0.498192376580076,0.431357921060807,0.552215908076947
OH,0.504441383229189,0.504272943401257,0.467739867663657,0.542593525801297
OK,0.531260567707289,0.531648436558065,0.488639103140352,0.575610995013745
OR,0.495225706664202,0.496411814377677,0.441378652675601,0.544939328471109
PA,0.549738895621705,0.550183265253049,0.505711366582165,0.591961787444296
RI,0.556710278468093,0.557538976707884,0.463297878423654,0.64557563797206
SC,0.516425972906096,0.517381293688629,0.476845752571559,0.555998115106898
SD,0.498180271741916,0.49879733248405,0.44612016582547,0.545640346004176
TN,0.531158430017998,0.530346055348705,0.498047769885985,0.565744338262698
TX,0.535337572104852,0.536137635586188,0.505821651212047,0.565366735016212
UT,0.49402454731605,0.496715550636439,0.42076548666231,0.564560803743153
VT,0.551655745965452,0.552028988247061,0.488966550314471,0.615557785325249
VA,0.523798578516325,0.523198522401456,0.496256017628727,0.552282617657076
WA,0.488989481894382,0.488702239859585,0.435897414700615,0.541684564825629
WV,0.54041218601538,0.539811142392557,0.499862525996162,0.579581940591103
WI,0.490519862191307,0.489245476705415,0.452485692414477,0.533408436661945
WY,0.50360534088582,0.50200644347562,0.450747854329671,0.558351244581854
