ethnicity,gender,mean,median,lower,upper
asian,female,32.4860967666547,32.5725280682066,29.6601606439719,35.5362382121394
asian,male,34.1239074701233,34.0340277438657,31.4687414190383,37.1080648980091
black,female,46.4406064442938,46.4670884922095,44.5756529129005,48.3196759683219
black,male,41.7662891484434,41.7337823087556,40.0148473273587,43.6491247585785
hispanic,female,33.1013706084082,33.0270630218215,30.5946842087333,35.9736637499545
hispanic,male,36.4292550170474,36.4531951646997,33.6159885671768,39.201316230732
other,female,38.7471622727326,38.7288139947664,37.1300808533837,40.3116933308941
other,male,38.3105446789825,38.3368312770567,36.5814514132429,39.8596283889642
white,female,42.0382360922689,42.0394053137377,41.0053998516287,43.0224128070492
white,male,43.0372699961441,43.0335544448211,41.9807764703719,44.1546010218825
