age_group,gender,mean,median,lower,upper
18-19,female,22.4632182685172,22.4360106392638,21.3100833767351,23.8790873546782
18-19,male,26.1954754220963,26.1890306085839,24.9860697967887,27.5038177841795
20-44,female,35.5582104039408,35.5508449201775,34.1534336598964,36.9287428352905
20-44,male,40.2518214864688,40.2252713314891,38.6844384779395,41.7437265908868
45-64,female,56.4490691128794,56.4321663867451,55.0205460955543,57.9835127115938
45-64,male,61.2749884313787,61.305786660761,59.7855756120458,62.8095970653743
65plus,female,63.5946336064604,63.5834782121198,61.9497267994139,65.0031421084264
65plus,male,68.2587459183828,68.2531889489446,66.8976025498552,69.80895687463
