ethnicity,mean,median,lower,upper
asian,0.509238725181119,0.508550230065503,0.485556157656933,0.532609674240532
black,0.563398694822205,0.563777406923538,0.549078588157962,0.577776448786611
hispanic,0.501856022706943,0.501528673746417,0.47888738331658,0.525282224899427
other,0.508694690590081,0.508459144009549,0.496008503071253,0.520208681942827
white,0.553127700089278,0.553131109372032,0.543721410403115,0.561510127472995
