age_group,mean,median,lower,upper
18-19,24.0805197279706,24.0835500538241,22.6996247033381,25.5776376055139
20-44,39.357856575776,39.3663691608432,38.1720138838167,40.4560471043378
45-64,60.6836196815376,60.6886276730435,59.4114092977735,61.9641659024539
65plus,68.3075342596147,68.3352598634462,66.9569565697266,69.6630194233873
