age_group,gender,mean,median,lower,upper
18-19,female,37.0497106305606,37.0500554889947,35.4563601065576,38.6868750362996
18-19,male,44.7681804815924,44.7957669969598,43.1156285185446,46.4125966028104
20-44,female,53.6055300737686,53.5818279393457,52.0381002544421,55.3258493922274
20-44,male,61.5731529885204,61.5903663571666,59.911801839038,63.0993896729393
45-64,female,69.7781504666002,69.8092202426292,68.3784401936756,71.3015152783908
45-64,male,76.2825429540237,76.2897558123115,74.9132270035788,77.4119491511892
65plus,female,69.8584281283557,69.8549678901544,68.3128386134832,71.3820038004143
65plus,male,76.2654059487141,76.2453130980372,74.8851228639686,77.5740067215193
