age_group,mean,median,lower,upper
18-19,28.5088641903999,28.5162748870045,27.0775406361721,30.0084174809405
20-44,41.6909823440551,41.6808951388924,40.4157690395398,42.9516187629038
45-64,60.2416143285424,60.2246751472096,59.0402146982867,61.4597472491215
65plus,64.8423280236674,64.8340663176469,63.5650200579383,66.1276770896081
