age_group,gender,mean,median,lower,upper
18-19,female,34.6172741840129,34.6006216254997,33.161336110813,36.2379696673115
18-19,male,43.8639974795674,43.8606131489659,42.3751014493207,45.4414218565938
20-44,female,51.8360188582965,51.8165743344491,50.2596106070832,53.3633372199686
20-44,male,61.4259471126446,61.4453988091961,59.7754201928907,62.9320220128776
45-64,female,70.286323579184,70.2727024308698,68.9227157271487,71.6210977275356
45-64,male,77.9442392487721,77.9805483145577,76.7154983673476,79.1172243976236
65plus,female,71.7994818747353,71.7980947668745,70.3015586608505,73.0328136150669
65plus,male,79.2797359686698,79.2842030050471,78.1942162895003,80.4740711209044
