FIPS,state,mean,median,lower,upper
01001,AL,69.7177046006096,70.2512108576646,57.62530894251,79.775947427594
01003,AL,70.9524960501176,71.2373088135419,58.1624438130725,82.0609091881191
01005,AL,71.6508583210789,72.2893378212755,60.6807871037421,80.4388056153627
01007,AL,71.2991370112724,71.6144119887529,58.8730034845405,81.4429537590241
01009,AL,70.0939128764885,70.5713288271388,57.6000025063419,80.4770419945594
01011,AL,72.6163136629023,72.9993667554867,62.7892993788884,82.0376094507691
01013,AL,72.1400728343287,72.4699475340658,61.1996316638118,82.1464873977753
01015,AL,68.7309964090876,68.9628255497043,57.599516169185,77.9513282712775
01017,AL,71.9420225624484,71.8667912940072,62.4054397033087,81.9235426221371
01019,AL,72.0190065772439,72.3314412112857,58.2075899787764,82.8569453980333
01021,AL,68.6503849436275,68.5577004016577,56.0383155974879,80.3866199201764
01023,AL,72.8522630809259,72.941357492396,63.5381437064322,81.4297494662402
01025,AL,74.8744817216553,75.2410470581508,64.3652069925613,83.7156461818376
01027,AL,71.7390789199287,72.2051362187022,60.4028247132993,81.1987162005721
01029,AL,70.6747556692457,71.2413322801547,55.2751360643761,83.0619829326106
01031,AL,69.6966733494845,69.7881714334836,58.3462263507061,80.2712851215843
01033,AL,70.2143709591784,70.2123408761872,57.2404608951776,81.3336337553529
01035,AL,72.5836519960825,72.9565352067753,63.9742271754737,81.0282791867543
01037,AL,73.7418627528217,74.1947547201817,63.18006687097,82.487237938498
01039,AL,70.6266447851976,70.9536720386826,58.0873526304623,81.3752403316947
01041,AL,71.92192934257,72.2284656531502,60.2287677098825,81.083471242574
01043,AL,71.1561368977283,71.3023913739459,57.5124417381561,83.4965098123523
01045,AL,70.5839621847585,71.2065481377912,58.7748929181747,80.1218319759361
01047,AL,73.1322575970094,73.8120136306141,61.6683261218356,82.5506260631765
01049,AL,70.4178385453172,70.6371338234865,56.5728115479713,81.6388999281619
01051,AL,68.8608057875692,69.2001559776224,56.3547295236414,79.5179697580481
01053,AL,71.8919890102196,71.8785409299516,62.0746489615662,80.780192362375
01055,AL,69.2162827307708,69.6589192054284,56.4101778031143,80.3436385397789
01057,AL,69.802128293223,70.383730836471,56.27941564171,81.0381246541616
01059,AL,67.1140656660661,67.3071447740906,54.4827570321668,78.4527522190547
01061,AL,70.7754197224822,71.108387285657,57.3787861218017,82.9849725163937
01063,AL,74.3666424921497,74.7682313625669,62.5046093507513,83.719841265949
01065,AL,72.938696405583,73.2999767866735,63.0511660018884,81.6297164181601
01067,AL,71.3779390712074,71.6306471797181,60.8137413697408,80.3160729841615
01069,AL,69.0014597357869,69.3254374263719,57.1522781111041,78.7749104479537
01071,AL,70.6195561038893,71.1802692357388,56.3007187141126,81.5579974973897
01073,AL,70.7039153055603,70.5138165935347,61.4791914642288,79.6648866297184
01075,AL,70.631618964203,70.8382811613915,58.6965208590435,81.2884766898674
01077,AL,69.6290741406854,69.7291390837767,57.4726174149507,80.548035783211
01079,AL,71.5509286353435,71.7796811232425,58.8896748980309,81.3603582798871
01081,AL,65.1186155940599,65.4937110064067,52.9681588916315,75.7154537333513
01083,AL,67.918481759452,68.1338827717692,54.4683655759965,79.2040777420079
01085,AL,73.2938622223932,73.6212512667136,62.0210412100783,83.1931315024731
01087,AL,70.0715627653612,70.3366593468208,58.6120070504269,79.63283894648
01089,AL,69.2108863167808,69.5891069769218,57.3911913165208,78.9972534964917
01091,AL,72.6517619774965,72.7892640138701,61.7104500703733,81.8402482572674
01093,AL,72.1252190083656,72.7552666311167,58.350451189278,82.9258245535009
01095,AL,66.5174193712563,66.451476335144,53.7419139477971,77.8964726005272
01097,AL,68.9982158650043,69.1925841648362,58.8593236185527,78.1652932899501
01099,AL,70.9912269786724,71.2766107433606,60.6822444273843,80.2916273329632
01101,AL,73.3358582179594,73.6720455835418,63.0562999564455,82.1704299685478
01103,AL,68.3650395621443,68.9124742604318,55.7228038083384,79.3863822707557
01105,AL,70.8589935984284,70.9531557487481,60.9482747507394,79.7426860710103
01107,AL,71.3488605658979,71.4336698808502,61.8083531982544,79.6410820081812
01109,AL,65.967074723541,65.7469798654041,55.9140589118087,76.3184064506894
01111,AL,71.0538793615758,71.2174577990234,58.8073065904495,81.7614318470841
01113,AL,71.5376238559851,71.8482555420677,61.3900836537841,80.1386859126277
