state,mean,median,lower,upper
AL,68.7461288552234,68.7945073255446,66.1221967203267,71.2244507301149
AK,63.607480852981,63.5665307353858,58.2769660931441,68.787424063394
AZ,61.9638311977655,61.9966049809729,55.2455183241035,68.509933043454
AR,68.0552410995906,68.0837073311518,65.1896036803196,70.7047774250985
CA,61.4172906682818,61.3877264458348,57.9826234577989,64.5494919757633
CO,62.7284234663673,62.6539158681572,59.2439568243281,66.2379859827805
CT,61.7343786249383,61.8452298282463,56.8052023870285,66.2497273259278
DE,65.9557802893292,66.0131744385392,58.6028201724069,72.3379563030759
DC,63.0731673804223,63.0806505237725,52.1727398493227,72.7027598799262
FL,62.3866872226679,62.4510179278187,59.897268619483,64.7646419838423
GA,65.3203396271837,65.2903199796043,63.2226017882756,67.6150360749545
HI,62.5222297447399,62.4229470225885,55.2427061835867,69.115161314723
ID,64.620532282783,64.6060926087281,59.7044161946804,69.5247569318667
IL,64.3823464806525,64.5053274185366,59.9394628247958,68.3741079229431
IN,66.6479448942865,66.6738386520319,63.8003189576149,69.15638728904
IA,67.1762413345775,67.1947637523664,63.8975545505585,70.23191814623
KS,67.1498744117622,67.1322932084218,63.4076705682751,70.8478734616871
KY,67.3288317865391,67.3652469396739,64.4377338542128,70.0863373289403
LA,67.608240199136,67.6406164639782,64.948106285695,70.2449724548544
ME,66.5048037673082,66.6554715307262,61.149939271399,70.9403105494508
MD,63.3394442598547,63.3530208874933,59.5413251462366,66.7668468027587
MA,62.2494170359951,62.2617327508621,58.5486324447466,66.2005428800479
MI,65.7695622314387,65.8173355736425,62.3860242953577,69.4397171890075
MN,64.6908319282618,64.7911773268774,60.7210244569258,68.2959070247815
MS,68.8096894613837,68.8347856161289,66.3264072386202,71.2698160624903
MO,68.6068200087698,68.6653240695127,65.7775362835537,71.6260167223601
MT,66.7527500969561,66.8677683139161,62.3941219389119,70.8829920174336
NE,65.6259279155189,65.5916725160841,61.514130673997,70.0880120012591
NV,64.7024302775364,64.6004818807177,57.6919117790628,71.7078082472953
NH,65.8529320422548,65.8241808965906,60.2395448689359,71.787236890744
NJ,60.8194613744768,60.7984712842173,57.5350687793413,64.2553841716951
NM,63.1136882566148,63.0573165553198,58.9560498543933,67.0866205708896
NY,62.8285934226818,62.9109778485529,59.7333700624947,65.6837158293294
NC,66.0096806021361,66.0533325781983,63.5095958623954,68.284441708653
ND,66.451988260522,66.5367214304649,60.9538427178879,71.5497396623966
OH,66.3377521406576,66.4137013439978,63.2531203493812,69.3030263990284
OK,67.8634723832029,67.8275115409814,64.2827373778397,71.2298233152745
OR,66.730964456498,66.8297340503819,62.0613552766216,70.6881276503487
PA,65.2705075889971,65.20923033221,62.1494941890897,68.2584129295786
RI,63.4116114376663,63.5959602001561,55.4471919212069,70.4416224500442
SC,67.6310854814799,67.6570723594287,65.2369524651086,70.1756889115491
SD,66.5729551412104,66.6012762274365,62.3357691625607,70.5946044291029
TN,66.3922114349243,66.3388847519899,63.7117606470805,69.228676578295
TX,62.4814380538163,62.5449302775421,59.664012931192,64.9561623740651
UT,60.4826347350726,60.5534778267256,54.7725466031854,66.4269802841999
VT,65.3521529455751,65.4488528831994,60.2537743944831,70.5856367863602
VA,64.4044687771756,64.4266190738027,61.9198443694549,66.8107447070767
WA,66.0134585041538,66.0335046013124,62.1447521837722,70.1003715759296
WV,69.6763940936823,69.5745188330652,66.5175348214482,72.8364746058472
WI,65.8757853013525,65.9267137149703,62.9720448945918,68.8743003328048
WY,66.2860152417772,66.2000714827225,61.8322138040058,70.5312802420869
