age_group,gender,mean,median,lower,upper
18-19,female,25.2480247787632,25.2190008356662,23.6481166494858,26.8495849280907
18-19,male,28.3236598327214,28.2916508275275,26.9101263409981,29.9996453911457
20-44,female,37.5037767394702,37.4965780661146,36.0477099310935,38.9085695098195
20-44,male,41.329638589498,41.3315021843601,39.8731427880515,42.8618636055463
45-64,female,56.4840995357784,56.5179045676614,54.7476921627053,58.202863292266
45-64,male,60.2790083444246,60.2537214693681,58.7151421270734,61.9170795980128
65plus,female,62.6077288851104,62.611459497371,60.999916815293,64.3299120645777
65plus,male,66.2975807060389,66.3256682441439,64.7178552765085,67.8509900502364
