FIPS,state,mean,median,lower,upper
01001,AL,70.1161238982496,70.3407551578465,59.3116105703501,79.9543961630477
01003,AL,68.7655787466214,68.8853636375677,54.2818048898725,81.4257702371964
01005,AL,74.8184145248117,74.9545660846428,65.7159914799068,82.9264471178044
01007,AL,71.5498845507271,72.0243329179806,59.0824459083157,81.6376427436437
01009,AL,69.9923350167122,70.2803594197517,56.298484643116,82.2641146176005
01011,AL,74.0983665827231,74.4537945831274,63.3240135909342,82.6878262466913
01013,AL,73.5956612482765,73.661778204862,63.3641746455541,82.7053256069624
01015,AL,68.8775349949825,68.8170117688277,57.6677026734892,78.4633719382032
01017,AL,72.9668851446724,73.0593963691328,61.6006054083025,82.117513637959
01019,AL,71.7691511355213,72.3087995900489,57.6318158123056,83.6744160537223
01021,AL,70.6413900566521,70.7652807381709,58.5916577653488,80.7711172121886
01023,AL,73.6137451918925,73.903675006174,64.2849812974182,81.5095972970539
01025,AL,73.9620279022977,74.1670031660308,64.0763717948328,82.4496569570597
01027,AL,71.0506896979471,71.4932571345523,58.1019978969915,81.3061435490153
01029,AL,70.5686845940093,70.6043745101843,58.5487475045158,81.9202710755405
01031,AL,70.2049527274026,70.6219622997809,57.8727511183182,79.733125911701
01033,AL,72.2075858380573,72.3782574844669,59.8411445909412,82.9272715695922
01035,AL,73.7010378342147,73.7615940460962,64.5358336166837,82.2287068040859
01037,AL,73.6362851218306,74.0964550281971,62.9068732696472,82.2621550756209
01039,AL,71.8353643021838,72.336131504455,59.3494508789339,82.2683890805794
01041,AL,72.0941951909651,72.4415889545369,61.0042371470439,81.3796547131563
01043,AL,71.1976057805859,71.5452766093573,57.118243986988,83.8485359060603
01045,AL,70.4288453467134,71.375815560908,58.4889117495325,80.2589350104645
01047,AL,73.4238327361248,73.4499654675434,63.4667022389909,82.9187566878376
01049,AL,70.287928111124,70.4057711885476,59.3066566911534,80.2820087989994
01051,AL,69.3369097954918,69.696407392285,57.5684641684844,79.8631277559342
01053,AL,70.7925230922294,70.9810185131756,60.9599444967589,80.4219666517119
01055,AL,67.9596451347425,68.5561975806707,55.0000351243608,79.2531594612814
01057,AL,72.1403852558192,72.7022607464853,60.0594410199534,83.5696524462142
01059,AL,68.3878524910348,68.9108406589157,56.4025355608219,78.9935109024224
01061,AL,70.3824037471435,70.5169443811208,57.9419175446479,81.2057671871219
01063,AL,75.4840037711221,75.9377012181198,64.514903879606,85.1039055304803
01065,AL,74.227322555551,74.4120616629876,63.9386821764788,82.4303282792391
01067,AL,71.2352483205589,71.2301716675419,60.9447941956547,81.0656386779932
01069,AL,70.2864931613953,70.5193176502304,59.2686160314678,79.6347857456514
01071,AL,70.7700649713333,70.5796069540211,58.5651626512723,82.6408861962368
01073,AL,70.6603511768201,71.0012011301457,59.8823153739039,79.7960317705315
01075,AL,71.5499302955985,71.6997522119781,58.4451135504366,83.3968602174874
01077,AL,68.2161833555392,67.8874731289105,56.2036377288915,79.3217789517886
01079,AL,71.1610008324524,71.2831795428535,59.7188773180978,81.6879402398134
01081,AL,67.5419566310051,67.9066429104474,56.5582997188654,78.3127372195437
01083,AL,70.4062712843827,70.3519203881963,57.8961757455757,81.0105749480835
01085,AL,74.252067436063,74.5471385495163,63.8147030164834,83.3961820964359
01087,AL,71.5896275703726,71.9132083980752,60.8331883833942,80.6633764531775
01089,AL,68.8871604407848,69.3105403519762,56.190805284746,78.6469511310551
01091,AL,72.9560603422987,73.3033141679556,63.0147591340676,82.1178479138327
01093,AL,70.2973117618231,70.5825413685419,55.7498483327768,81.6628163383903
01095,AL,67.3343942337608,67.8700109988508,54.6514699147088,78.5225339878336
01097,AL,69.8969955167141,69.9663964758876,59.2089042521161,79.9667533277102
01099,AL,73.381279245227,73.5036978527246,63.215105898675,82.8148143542733
01101,AL,71.9051535881017,72.2869550016759,60.159725501461,81.0729859935133
01103,AL,66.8675815381827,67.3734553292728,54.7973951846699,77.8441303888044
01105,AL,73.104301497398,73.248266838156,64.2383819324886,81.0883197823597
01107,AL,71.8903711069741,72.3084837911669,62.28935750558,80.0755014203574
01109,AL,66.3730439823068,66.5622788856421,55.520160256038,75.7648167888004
01111,AL,72.2661007403328,72.3486058951784,60.4842916918906,82.7112744088889
01113,AL,72.5924040169243,72.7744539050823,62.4535715470216,81.1802185591336
01115,AL,68.9564748685563,69.07774875229,55.5885582568937,80.8492909459442
01117,AL,68.3910602862949,68.4149789541495,55.2389710420635,79.788955016685
01119,AL,71.0017793210804,71.3917688583151,59.7586528791358,80.7127054317405
01121,AL,72.0882642358043,72.6616297268912,60.8489662550857,81.1764357423031
01123,AL,72.1557230778065,72.578504789986,61.5783569178147,81.675745595722
01125,AL,68.6873068566198,68.5568583672555,58.032508693395,79.3827016856496
01127,AL,72.8636401023995,73.2947369711048,60.6877853410228,83.994003634652
01129,AL,71.3074506238287,71.4434402976044,62.0906360735692,80.2108293995357
01131,AL,74.1716200536715,74.2355095696071,64.5216099225666,83.2669546071154
01133,AL,72.0149844692556,72.030859490832,58.1436545857218,84.4325646471252
02013,AK,63.928678608097,63.9292487761131,54.9939959759637,73.4371756672687
