age_group,mean,median,lower,upper
18-19,26.8202073605445,26.7635785866186,25.4578766121719,28.265289316604
20-44,39.4523631383993,39.4463441463148,38.3186774228004,40.480995442584
45-64,58.3674907446299,58.3453680028407,57.2197675489078,59.5663969525715
65plus,64.2584932606726,64.2645772460694,62.9550563602986,65.5604257117049
