state,mean,median,lower,upper
AL,0.565757088606695,0.566197513530708,0.536560133576603,0.592871371065488
AK,0.469210372542134,0.469212530949788,0.411320723362271,0.527037034598088
AZ,0.516102801151242,0.517216730542652,0.447252784243941,0.591740886966819
AR,0.566039245069895,0.565864366159105,0.534078423332496,0.594135947579092
CA,0.508576043986895,0.509339573117444,0.473802972664524,0.543842333495544
CO,0.47248412817041,0.472494015955868,0.433886820971239,0.510893511455953
CT,0.538557648724992,0.539266054157656,0.48344597779519,0.590703471346267
DE,0.558715181456853,0.558887544639327,0.482686113134747,0.629171115172718
DC,0.525005764716188,0.528130598785478,0.418162849676571,0.634934416773504
FL,0.552721302756537,0.552170521903387,0.525174669213796,0.57978479535616
GA,0.5286468210392,0.528644451579853,0.506032413286504,0.552023004524328
HI,0.510978692826122,0.510200101099045,0.437685782426283,0.585161676611802
ID,0.503362548000352,0.504086626630072,0.448448098620852,0.553914774811311
IL,0.517854326379232,0.517199567218284,0.475295120459048,0.560423923586996
IN,0.534167572496251,0.533773947743394,0.505538369487247,0.564825566775048
IA,0.511365699362067,0.511230179538184,0.475572963376066,0.547196629324009
KS,0.519297824162591,0.518505024979499,0.478153323947666,0.560542577683334
KY,0.563472324132078,0.563818988664423,0.529641406753394,0.59681219435399
LA,0.561463878631569,0.561395145415351,0.532789072670243,0.590384804008671
ME,0.534450890881826,0.533337368473987,0.47461665541443,0.593898870207278
MD,0.543175876871169,0.543163055649584,0.504537375840716,0.581165114006001
MA,0.527332052068344,0.528061922697229,0.479311348837135,0.572231842961902
MI,0.523326612223743,0.523861484309558,0.48506637950159,0.558142796867705
MN,0.48947580289987,0.489467251544801,0.451340171449121,0.531653753729293
MS,0.573840542703118,0.57374276789214,0.547876930692772,0.601615140187957
MO,0.530629060906807,0.529681423697938,0.497975901218501,0.567108088350385
MT,0.5134883351226,0.513197891417528,0.46782803967139,0.561342508607066
NE,0.488722271824732,0.488560850413974,0.439472028424198,0.540651343267205
NV,0.51292727953587,0.512246749073665,0.43919008341895,0.592387420221615
NH,0.522033785528412,0.523044320734359,0.457926344710474,0.58797965499776
NJ,0.517260387014672,0.518423837314971,0.485689894173482,0.548835897742918
NM,0.518143146657592,0.517457932012384,0.478621885596623,0.559317099096019
NY,0.536796094625264,0.537455897923166,0.503771547831574,0.570339344698185
NC,0.536674206810313,0.536646380317837,0.512517946746607,0.561189161152502
ND,0.491009165724618,0.49270633127844,0.437032511365062,0.548499297114203
OH,0.534841203591556,0.535365821528139,0.503043121852892,0.563994937712966
OK,0.530214536077382,0.530928956746018,0.490961913751244,0.565658121075305
OR,0.513453891608795,0.513059552235833,0.466508174697758,0.557010129099448
PA,0.53509644575084,0.535471137476014,0.502165070687659,0.568246478399769
RI,0.545799288838222,0.547447727065369,0.46900387504344,0.620921447771617
SC,0.548138837109418,0.548891871902149,0.515341293054497,0.576605173858731
SD,0.493989624298329,0.494486341509918,0.443881015989817,0.542771592378668
TN,0.550657684110977,0.550384497036257,0.521211561297031,0.579118979248834
TX,0.505425820848257,0.506282230933476,0.475318503544578,0.530693219911616
UT,0.483104084203904,0.481900418085472,0.415110607384609,0.549053419433122
VT,0.538911870756661,0.540170717104506,0.482220503818142,0.593522277452059
VA,0.524701925983183,0.524661542045247,0.499852998689419,0.549785838658224
WA,0.496668479624221,0.4964476887065,0.455259485924652,0.541422527505982
WV,0.564489708757406,0.564748173511046,0.529301565213287,0.601056526107057
WI,0.511698417689679,0.512734743884319,0.47564353728517,0.543803188555719
WY,0.494209862801149,0.494360400099366,0.450276420545186,0.544245797154913
