ethnicity,mean,median,lower,upper
asian,42.5032877335991,42.4821465967305,40.4031252815024,44.9782557923592
black,56.4726292738762,56.5029018150669,54.8937109004582,58.1362164636293
hispanic,44.6360910593856,44.6238598429518,42.383530121865,46.9422228929906
other,51.6439778827907,51.6717182522335,50.0860747798988,53.2441661700032
white,54.2841628692399,54.2720711299918,53.3714278517354,55.2763787977448
