age_group,gender,mean,median,lower,upper
18-19,female,22.4736897298294,22.4341738831952,21.3452522069165,23.7710676833876
18-19,male,26.2424559914322,26.229251641387,24.9363266872667,27.7001866322944
20-44,female,35.2103560314416,35.1706564676107,33.816076937748,36.7494441455762
20-44,male,39.9422460477791,39.8939677480529,38.4281588486932,41.474544720879
45-64,female,55.9680748959152,55.9220281013264,54.4128943010021,57.5828775498749
45-64,male,60.7527257510801,60.8024691456865,59.1304574585183,62.22955637536
65plus,female,62.798756894499,62.8083117017386,61.1525154363502,64.3332287048599
65plus,male,67.5167489308633,67.5614018115697,65.9520612614282,68.8690232696679
