ethnicity,mean,median,lower,upper
asian,40.2581011851265,40.2153112210498,38.0376375885922,42.5241815402933
black,55.2614159942202,55.2251646156049,53.8595291492587,56.7844833974511
hispanic,42.8100888336631,42.7822570509694,40.5999209989902,45.2229762039761
other,46.5593644739633,46.5474670516101,45.3959325420914,47.8043358960073
white,51.5089528386192,51.5241878512551,50.5978598480994,52.3205875799097
