age_group,mean,median,lower,upper
18-19,15.7547390679583,15.7563418013011,14.9680055287801,16.5465262104116
20-44,25.5898461177928,25.5775459660359,24.7221084835224,26.5595045173232
45-64,46.674450437497,46.6675640111725,45.5417102715758,47.9459722631129
65plus,57.6303746209753,57.6576413672398,56.4834537032971,58.7296157747144
