age_group,mean,median,lower,upper
18-19,20.4931797548607,20.4830006499607,19.1783257412893,21.8433076762305
20-44,29.4082102437278,29.3772297258582,28.3790209658433,30.4728070441968
45-64,47.8149718130048,47.806909889066,46.6665822292653,49.002437103914
65plus,57.3610456587406,57.3529220247328,56.1613081494246,58.7016584742128
