age_group,mean,median,lower,upper
18-19,0.500202376144358,0.500434710410227,0.469777391540926,0.529427739383976
20-44,0.563913834400267,0.563714228276155,0.550861046458999,0.576761332794991
45-64,0.710272912731737,0.71006337655471,0.700582097928132,0.720754702782363
65plus,0.811128247499759,0.811175455880018,0.800785732687027,0.821651800231564
