age_group,gender,mean,median,lower,upper
18-19,female,19.8211195685046,19.7699309310997,18.5072860648819,21.3473948904369
18-19,male,21.1358599119477,21.1234293691847,19.5934315217072,22.7082273600197
20-44,female,28.6072045331856,28.5687041391817,27.2543530723719,30.1190153961054
20-44,male,30.1799021519836,30.1746709132442,28.840194316978,31.624164947892
45-64,female,46.8654612576467,46.855822706159,45.3344398092648,48.5348120298015
45-64,male,48.7786622715923,48.7667827287692,47.2799202814572,50.4226994917284
65plus,female,56.4423367227701,56.451287456222,54.99668248492,58.0561100166016
65plus,male,58.4958701588424,58.5371106010407,56.7466356998172,60.1338624499076
