state,mean,median,lower,upper
AL,69.6561089644115,69.6710865650312,67.0457773289681,72.199876091658
AK,65.5563879419181,65.6759252268837,60.3280662551921,70.6477259553138
AZ,63.1114700628165,63.2541310406583,56.2185977715242,69.1315437742878
AR,69.1482036760624,69.1672658816254,66.4358104073924,71.5779512243095
CA,62.6415181961371,62.6979183845254,59.1703742080466,65.88294495355
CO,63.7032953866201,63.7534356619631,60.2620380240446,67.2701922128113
CT,64.0164909092008,64.0977617510132,59.4873984810865,68.3730857710165
DE,66.1581579379651,66.1502668144185,59.2047811921619,72.3841747300368
DC,61.0604963017746,61.1472789087458,49.6884917419254,72.6661067334413
FL,63.2055479160397,63.2321446848587,60.6518554457403,65.6225979578385
GA,66.2213625365515,66.2574231783049,63.9967963243891,68.2854307454149
HI,63.4430930016515,63.4171516429458,56.3889214363053,70.4283598289744
ID,64.9648855813762,65.0365222065358,59.6792434506563,69.210825250908
IL,65.5583215458156,65.5293851227692,61.7395893711814,69.5069953508165
IN,67.6273213283004,67.6470521482228,65.1127343661912,70.1611958164651
IA,67.624702012656,67.662912117594,64.6601184008812,70.4914688426134
KS,68.1340252258172,68.2609940205499,64.1165057150182,71.701392137598
KY,68.4926248412981,68.4792630714342,65.7676516778431,70.9580964019492
LA,68.4598076079703,68.4870637619886,65.8103351118276,71.0777808841453
ME,66.9218383053598,66.9111368215287,61.9877606593432,72.1416630557171
MD,64.567309654737,64.6467442135365,60.9069386900455,68.0368490892294
MA,63.4146169044486,63.4421812858365,59.415093466489,67.5708282603174
MI,66.6976987566906,66.741650166687,63.760876805898,69.6859983720009
MN,65.9267707307836,65.9253003315516,62.3289954135939,69.0635770449084
MS,70.273449195624,70.3070922164483,68.0741753922249,72.3819151624922
MO,69.8066313331615,69.7738164403887,67.018182605014,72.8339381080645
MT,66.615562993308,66.6646847683771,62.1746941639573,70.5700866742565
NE,65.997292173106,66.0988657170628,61.7134389980441,70.3194937746424
NV,64.6295483238987,64.8169216788179,57.117057959926,71.177383771398
NH,66.5666870310557,66.589643353325,60.5848393145588,72.3634666637332
NJ,61.6365295498659,61.7457165169533,58.5389679853189,64.5254360961107
NM,64.2289258703527,64.3813731971622,59.5664230928404,68.2283538938903
NY,63.6804555270917,63.727249160313,60.7093324898377,66.2861809688954
NC,66.9617782390526,66.9212609298871,64.7135501609038,69.2939774596298
ND,66.583666035796,66.4544182353331,61.0430813365822,71.6069728544769
OH,67.0325659420827,67.0207174713436,64.3756736636651,69.482021198535
OK,68.5367304118507,68.6374676793425,65.116044116892,71.3770702035479
OR,67.4517730367739,67.4249160336072,63.8175668212602,71.5761949089891
PA,66.2893276360034,66.3597105056738,63.4010857851349,69.1358452815551
RI,64.9514113565015,65.0828891060922,57.2091145140245,71.8125385277997
SC,68.4040502270115,68.4067425163891,65.6915906468723,71.0056090492222
SD,66.9986163665267,66.884653250102,62.9854012893673,71.3216020775122
TN,67.9619522761209,67.9152174962746,65.2636795198315,70.6302112331601
TX,63.8801924420648,63.8562781647591,61.2271620530013,66.3791711308614
UT,60.7931542646749,60.8696514289723,54.6641529629614,66.8581519204953
VT,65.598917202702,65.6444226456662,59.8884403676196,70.9578753907358
VA,65.1074310580005,65.140816230721,62.7790883020024,67.3387867544099
WA,66.8261078385932,66.9390955638225,62.5596554202505,70.9065406597666
WV,69.9846417968232,69.9642186829109,67.0006787860799,72.8765467175648
WI,66.2842662239372,66.342710103141,62.7439988866869,69.3525853535524
WY,67.4512751331562,67.5730651854698,62.818155210671,71.5457285616526
